annual_rainfall,seasonal_rainfall,monthly_rainfall,cloud_visibility,temperature,humidity,atmospheric_pressure,wind_speed,river_level,cloud_cover,flood_status
1998.53,1223.28,467.91,6.56,22.47,90.83,1017.08,4.9,12.36,88.94,0
3842.29,2304.89,567.3,4.86,17.37,69.67,1024.06,58.34,2.61,91.65,0
3142.38,1737.25,498.0,9.66,18.16,51.73,1003.16,18.95,14.22,44.05,0
2715.71,1852.6,677.72,2.58,19.52,84.2,994.46,21.31,12.73,30.85,1
1299.26,835.41,267.77,6.08,20.09,65.12,995.94,17.38,13.82,27.25,0
1299.18,987.0,379.64,7.15,21.06,75.68,1014.85,59.13,4.64,89.38,0
985.87,502.43,221.22,8.34,21.39,46.44,1008.38,68.57,5.37,30.81,0
3571.76,2475.81,567.3,4.37,26.39,77.9,1004.32,53.35,7.31,57.78,1
2723.57,1985.17,749.19,7.03,27.74,62.41,990.14,58.0,3.75,39.86,0
3065.83,2231.45,574.79,3.38,22.72,60.05,1023.77,44.19,7.25,54.9,0
865.87,663.1,201.33,4.64,37.68,98.79,1019.05,37.96,0.63,41.12,0
3903.71,2805.64,584.18,9.01,28.83,65.95,987.03,51.07,13.22,36.37,1
3463.82,2696.04,630.81,9.52,34.69,80.68,998.37,4.43,2.85,48.46,0
1479.49,887.39,248.42,7.33,38.11,77.66,1007.11,6.18,7.76,39.96,0
1381.84,899.53,256.81,4.06,19.08,46.26,1002.72,48.73,13.97,85.57,0
1386.89,699.31,297.13,8.29,25.7,84.88,999.89,24.78,12.4,62.26,0
1773.58,890.49,343.24,0.75,25.83,59.39,1015.94,35.24,11.75,25.86,0
2479.22,1418.21,628.33,1.48,23.86,87.94,982.73,55.18,9.28,31.24,0
2182.22,1157.11,404.72,6.78,15.22,76.46,1003.57,41.25,6.83,14.82,0
1731.93,1001.17,260.73,3.27,35.4,59.03,993.11,56.76,6.97,36.97,0
2757.93,1525.45,430.04,9.54,17.79,61.38,984.23,30.5,1.76,70.26,0
1246.38,633.85,177.45,4.64,39.89,83.89,1003.24,21.54,1.44,26.47,0
1734.86,1340.69,377.57,4.58,34.32,73.0,988.57,17.97,12.73,18.93,0
1972.36,991.04,364.94,6.94,29.5,80.1,992.91,10.95,6.43,38.89,0
2259.42,1628.65,541.85,7.79,18.87,49.5,1005.35,4.5,1.28,65.13,0
3312.56,1807.48,535.66,5.02,27.88,87.22,1028.69,5.61,10.11,52.55,1
1438.96,1113.28,264.15,2.53,21.53,59.22,1014.21,20.43,10.41,39.9,0
2445.55,1877.79,385.95,7.85,21.31,77.19,993.98,20.93,3.8,89.47,0
2695.73,1876.68,478.01,3.54,35.74,46.88,999.12,27.96,6.46,52.17,0
948.64,665.63,151.01,2.16,24.52,59.29,1000.31,42.23,8.81,50.95,0
2744.14,1376.47,545.58,6.5,26.27,78.93,987.68,53.63,9.15,12.85,0
1345.68,1070.43,244.19,1.36,36.07,56.45,988.03,15.44,7.91,67.54,0
1008.17,769.58,293.25,9.73,17.19,92.82,987.42,53.63,5.78,51.34,0
3836.43,2948.42,873.96,6.51,29.87,79.67,1006.08,11.45,1.5,23.06,0
3890.02,2714.35,592.66,9.87,29.46,92.22,1013.71,69.23,0.82,31.94,0
3386.87,2043.76,824.01,3.72,25.63,63.72,1009.54,21.38,7.16,28.21,0
1774.76,1363.19,470.17,9.73,35.74,42.04,1028.89,58.94,3.44,20.99,0
1112.55,653.57,169.24,1.88,38.57,74.57,986.29,14.95,14.11,49.2,0
2989.55,1999.45,847.11,0.89,26.63,60.35,1029.32,66.64,9.79,42.7,1
2208.49,1170.32,247.31,0.81,26.4,66.89,1003.33,58.21,8.99,42.41,0
1190.52,924.54,231.56,4.92,27.55,80.87,990.93,26.44,6.4,32.64,0
2384.57,1292.99,501.69,1.29,33.08,82.04,1027.16,30.66,5.28,49.28,0
910.04,516.42,194.87,5.37,31.7,41.65,1003.43,2.26,3.11,59.28,0
3709.83,2476.09,674.28,3.61,20.57,86.16,997.37,19.1,1.37,65.04,0
1628.1,1187.25,255.86,3.69,16.6,69.61,990.69,21.67,9.7,29.78,0
2920.07,2002.6,830.12,6.54,38.73,73.4,993.39,32.79,11.8,75.51,1
1797.48,1023.91,285.08,2.05,21.53,57.88,1028.96,11.46,12.94,12.43,0
2464.22,1232.81,306.88,7.78,30.96,65.25,995.2,34.56,11.0,77.54,0
2549.47,1853.84,609.94,6.03,35.71,82.62,1028.89,47.46,13.51,35.47,1
1391.53,1107.05,473.33,9.19,22.51,86.6,996.51,27.25,14.75,43.3,0
3902.67,2899.58,611.48,3.97,30.89,63.23,991.57,17.79,14.44,62.26,1
3280.43,2093.11,819.35,9.84,17.7,81.47,989.17,39.24,9.09,64.94,1
3806.4,2935.23,1007.13,5.97,39.25,55.48,1000.59,3.97,3.75,47.9,1
3663.45,2282.16,699.17,9.75,16.45,89.92,991.84,25.18,2.04,94.41,0
2713.28,1783.93,688.63,0.76,25.95,76.59,1014.85,37.88,14.91,87.25,1
3750.0,2411.77,1064.69,7.42,28.42,86.51,991.99,24.84,4.97,30.25,1
1083.18,687.04,176.78,8.26,34.76,68.63,1021.77,25.49,0.99,63.0,0
1427.15,1045.47,246.64,1.01,18.03,53.75,1021.7,59.68,6.17,74.89,0
944.73,621.66,266.21,6.0,26.02,65.75,994.28,65.51,11.35,29.52,0
1841.06,1095.46,402.29,8.12,22.49,62.89,1017.68,58.26,13.42,11.66,0
2043.77,1180.17,365.26,5.83,22.8,59.96,1022.88,8.72,7.42,97.8,0
1668.32,853.05,292.87,1.11,34.47,52.73,1009.51,21.7,4.76,96.25,0
3451.96,2329.93,900.29,7.09,15.14,85.55,998.32,50.37,11.79,38.83,1
1941.61,1104.75,434.45,1.08,33.73,45.18,1002.05,68.26,7.8,31.52,0
1698.99,925.0,397.72,8.27,35.26,93.25,1019.31,18.48,1.75,23.92,0
2536.63,1765.87,541.61,0.91,37.53,50.5,994.67,63.08,13.37,71.84,1
1250.96,881.13,240.86,1.81,30.67,98.79,996.72,52.25,10.01,77.98,0
3367.03,2443.27,879.37,3.11,23.34,99.31,988.04,68.87,1.03,47.84,0
1038.56,676.18,205.51,6.52,25.68,63.9,999.95,8.36,0.63,31.85,0
3958.04,3040.63,1060.11,9.78,39.24,99.27,984.33,28.84,1.77,50.39,1
3271.18,2554.48,779.11,1.62,37.03,92.14,996.05,34.51,12.42,56.47,1
1435.89,1065.73,253.91,1.86,26.59,44.95,998.67,47.7,7.48,58.91,0
817.67,564.75,179.23,4.0,38.58,96.84,992.77,46.47,5.36,49.9,0
3409.48,2015.4,751.2,8.44,35.57,42.55,985.07,63.63,4.11,10.34,0
3061.94,2433.89,973.12,4.94,37.53,50.91,1006.08,59.03,7.85,52.46,1
3132.82,1824.06,589.78,3.56,32.07,75.08,1023.25,5.77,1.7,41.25,0
3268.07,1832.72,442.25,5.83,36.44,44.84,996.78,35.08,9.45,60.09,0
1036.94,656.02,199.21,2.97,37.29,49.7,991.84,29.68,6.02,16.24,0
1947.09,1006.75,399.25,4.31,17.3,97.21,994.25,69.81,12.95,89.13,0
1170.78,929.07,281.71,3.66,39.13,99.68,1023.09,31.05,11.44,88.79,0
3561.93,2409.75,901.57,8.14,23.34,87.89,1006.39,48.42,0.77,60.77,0
2794.55,1864.21,609.23,9.28,26.0,70.91,986.54,21.34,2.91,76.34,0
1858.87,1295.15,337.13,7.72,34.8,94.02,1015.46,43.79,7.37,49.41,0
1003.39,651.31,259.9,4.67,31.62,46.71,987.72,16.05,10.05,63.13,0
1795.14,914.84,202.23,5.29,37.33,96.57,983.01,43.05,10.87,65.59,0
1840.59,1258.4,416.81,1.69,25.01,61.09,992.78,61.04,12.34,41.85,0
3134.74,2240.88,565.2,7.6,24.33,91.69,988.4,3.31,1.21,96.48,0
2840.18,1775.19,384.8,6.17,15.79,80.1,1010.25,36.31,0.77,64.23,0
3639.08,2646.3,861.99,9.07,26.57,97.62,1004.23,68.8,9.21,99.15,1
2311.09,1312.93,426.56,2.41,33.1,91.88,1016.2,12.83,11.0,48.91,0
1182.7,669.86,252.35,7.72,22.53,93.27,1005.58,14.47,11.91,12.91,0
3082.38,1690.46,652.83,7.0,26.57,77.91,1000.95,34.02,2.76,37.22,0
3234.51,1978.22,755.58,3.03,20.48,89.99,1006.31,61.23,14.55,68.57,1
2596.09,1957.72,591.99,6.84,34.32,85.43,1001.72,40.27,3.83,91.93,0
3267.09,2445.01,875.12,9.28,16.51,49.7,981.85,36.59,4.13,65.36,0
2380.15,1463.43,503.76,9.23,32.63,78.92,1014.03,7.9,2.74,52.46,0
2472.75,1673.39,511.04,7.34,24.47,48.89,1028.11,67.42,1.13,17.27,0
2168.13,1552.91,542.44,0.96,16.04,92.17,1001.1,25.6,12.24,23.03,1
881.34,504.45,220.35,8.79,36.34,43.96,1001.19,19.12,0.58,14.81,0
1145.25,630.4,156.48,6.75,27.19,99.22,982.29,30.0,7.22,74.01,0
900.57,712.92,304.02,3.45,29.98,64.04,1024.52,30.16,1.83,84.8,0
2836.51,1943.77,414.73,2.28,33.3,50.24,1026.46,33.18,1.15,24.8,0
1805.94,1434.68,397.55,1.6,31.38,96.14,1020.66,48.82,14.05,39.27,1
2427.43,1459.68,397.08,0.98,33.27,42.73,985.32,61.02,12.47,53.12,0
3704.21,2633.36,939.03,7.66,34.06,68.21,1025.01,5.9,6.23,22.85,1
1597.74,905.57,210.82,2.74,29.73,86.21,981.2,35.37,7.15,47.46,0
2113.23,1222.21,514.04,0.73,24.14,59.01,1002.23,30.15,13.09,97.01,0
3217.76,2103.04,856.23,4.27,21.08,71.73,1005.03,2.74,12.05,74.72,1
1532.15,912.99,331.43,5.08,37.57,82.02,1021.7,57.52,10.53,25.02,0
1046.34,575.78,181.14,2.11,39.25,97.12,1017.54,9.09,8.28,18.89,0
1727.2,999.82,433.16,0.92,23.94,46.16,1019.85,9.8,9.31,50.06,0
1315.91,672.07,273.99,2.3,17.81,49.43,1023.4,5.28,6.2,98.92,0
3775.03,2685.28,872.26,6.95,20.56,70.53,1003.8,15.63,8.16,81.4,1
3385.99,2192.88,823.36,1.28,31.77,65.11,1019.01,14.02,8.33,36.38,1
2826.89,1493.37,510.33,5.77,19.32,64.65,983.4,25.65,13.04,12.37,0
3588.67,1979.18,686.75,1.89,34.5,57.82,1002.23,46.83,3.67,47.02,0
3371.75,1789.59,506.0,2.36,38.08,73.64,981.51,5.69,4.08,24.45,0
1397.02,955.25,301.4,4.23,39.09,93.0,1025.77,60.5,3.56,26.23,0
3656.19,1931.43,424.01,1.46,15.23,49.66,1027.92,24.21,8.9,24.61,0
2525.9,1834.52,530.79,2.15,38.95,52.92,984.2,43.25,10.58,74.76,1
3383.81,1712.73,640.49,3.82,33.5,80.25,1006.63,2.82,3.96,13.23,0
3667.49,2108.12,924.0,3.63,17.1,43.37,996.26,26.87,10.32,60.83,1
1817.61,1394.47,614.64,7.62,25.38,80.43,997.13,2.14,9.61,77.73,0
1152.17,824.44,279.43,1.21,32.5,58.87,1002.54,13.25,5.16,24.08,0
1529.39,798.18,280.68,8.67,38.92,61.47,986.25,32.45,3.83,90.36,0
2166.74,1617.12,398.51,8.25,19.1,64.33,989.04,38.39,13.29,17.03,0
3417.65,2214.33,827.78,7.78,18.19,60.98,1008.87,12.4,8.76,71.44,1
3554.34,2680.09,583.36,3.44,26.81,90.47,980.94,52.67,10.71,25.48,1
822.25,559.31,151.67,8.32,39.2,96.76,1009.99,14.85,13.92,82.54,0
2434.39,1715.15,629.62,2.24,39.28,72.88,995.95,9.88,3.48,61.43,0
2135.72,1704.41,473.11,1.68,20.7,74.91,1021.61,24.67,5.58,63.03,0
1510.74,860.67,182.86,0.93,22.98,44.23,1010.0,39.5,6.8,41.14,0
1183.57,813.33,331.81,9.42,37.7,82.79,1015.4,69.25,3.88,35.49,0
1880.37,1199.86,333.06,3.43,33.37,75.05,985.72,30.47,12.69,51.7,0
3817.31,1953.84,421.59,9.22,39.31,43.02,993.29,30.97,1.71,78.19,0
1834.25,925.09,202.31,3.09,37.33,51.91,1029.83,6.03,3.97,25.14,0
2460.13,1318.06,346.57,9.12,20.38,52.12,1001.68,54.08,3.27,83.46,0
3049.66,2118.68,518.03,9.09,33.99,50.26,997.94,14.36,14.32,53.19,1
1963.61,1315.91,517.91,9.27,16.21,79.52,1023.69,52.65,9.6,50.7,0
3909.7,2603.97,730.21,5.21,35.45,95.71,981.65,63.92,10.89,11.49,1
3879.83,1977.0,793.12,8.73,30.04,85.78,1006.74,54.24,2.07,21.18,0
1605.7,1028.92,250.5,9.53,38.9,68.64,990.51,45.69,3.31,48.88,0
2391.2,1858.88,600.83,3.58,39.0,64.24,998.41,43.07,12.24,98.32,1
1762.81,1091.67,406.11,4.48,16.27,63.19,989.99,32.85,8.73,32.51,0
1711.49,1176.61,427.11,7.33,19.01,76.07,981.89,11.83,1.15,10.92,0
918.04,673.79,236.02,3.35,27.11,61.55,1000.83,54.96,8.7,49.23,0
2750.61,2022.18,871.98,7.66,36.99,53.57,1019.46,34.46,7.39,11.44,0
2408.57,1579.5,406.14,1.2,35.36,76.17,1027.6,44.54,2.73,40.26,0
964.73,730.67,236.32,5.47,39.11,63.44,1011.19,27.43,9.1,41.87,0
1691.67,1044.46,439.72,1.66,30.45,40.85,999.44,15.65,3.02,10.21,0
3706.45,2841.39,623.61,3.29,21.41,41.33,1018.49,56.84,12.27,80.16,1
1566.6,896.2,191.76,2.96,15.63,56.45,1005.26,25.28,9.47,92.16,0
1263.66,738.06,190.66,8.47,20.57,70.75,998.38,60.93,13.13,99.89,0
2366.25,1220.83,437.37,2.34,31.88,61.25,988.95,67.67,6.66,55.79,0
3954.08,2920.78,773.92,8.18,38.16,41.44,1019.81,58.44,7.92,37.6,1
1574.58,984.29,243.67,8.04,23.02,53.39,1005.02,10.71,11.53,74.57,0
2950.83,1678.24,528.14,5.24,36.89,45.79,1028.19,60.14,8.42,76.28,0
3237.18,1843.7,651.56,2.72,24.87,96.92,1020.1,37.32,8.79,44.13,1
1560.44,1202.19,315.14,2.66,22.71,58.77,1001.0,18.42,8.52,60.9,0
3130.29,2348.27,646.18,4.92,27.72,40.89,1017.04,8.33,7.62,83.96,0
1976.91,1316.74,465.32,0.58,26.06,79.63,1002.67,20.94,12.18,27.03,0
2823.38,1933.54,843.87,5.55,37.84,53.95,983.99,11.35,7.54,11.84,0
2827.3,1815.97,669.52,9.55,26.71,74.0,1005.83,3.74,13.56,58.57,1
2514.48,1552.69,614.44,1.97,21.93,49.04,1023.29,69.17,12.22,69.8,0
1088.93,843.53,246.06,5.95,36.06,99.04,1022.77,58.54,10.54,61.75,0
3472.97,1867.36,500.57,9.64,39.97,98.22,1008.75,52.25,13.53,63.66,1
1826.5,1142.54,358.26,8.67,31.2,79.36,999.0,15.12,8.29,45.38,0
1396.86,842.82,338.63,8.58,21.26,82.43,980.51,3.89,12.42,68.63,0
930.48,604.3,189.79,8.31,20.97,65.55,995.57,34.99,4.01,13.85,0
2690.86,1714.86,705.97,3.44,16.44,97.73,1029.49,52.44,1.56,23.61,0
2968.21,1946.15,870.31,8.96,16.93,65.42,1016.32,67.47,10.43,50.03,1
853.08,462.35,100.8,9.44,37.87,54.37,1015.88,59.38,4.87,94.87,0
2438.7,1594.77,337.06,5.21,17.41,46.92,1018.05,62.76,9.7,68.0,0
1524.79,873.28,207.32,3.87,27.11,52.49,1011.01,18.23,1.62,41.98,0
2864.55,1590.68,470.99,4.44,32.45,74.33,1009.29,12.56,14.36,51.22,1
1357.97,705.4,164.19,3.67,36.26,54.71,1002.68,18.85,7.97,86.11,0
3011.0,2194.4,916.53,2.52,19.28,79.25,1002.2,11.42,0.64,58.82,0
2037.55,1280.06,263.42,6.38,25.94,62.93,1023.54,56.3,7.4,14.31,0
3797.54,2612.68,728.8,5.84,21.29,93.21,999.67,63.41,11.95,47.52,1
1240.07,890.71,219.27,4.89,21.4,73.51,1022.01,22.9,13.05,44.92,0
1891.41,1331.17,576.24,1.41,22.6,77.36,1021.89,61.63,7.19,90.99,0
1163.12,745.73,273.96,8.07,29.68,73.39,1018.54,5.74,2.33,37.49,0
3759.02,2316.95,991.67,2.16,15.41,93.13,981.88,48.06,13.64,15.82,1
3607.49,2210.62,979.49,1.59,25.22,43.81,987.4,37.87,14.73,41.93,1
1625.41,1124.81,364.75,6.42,19.67,44.04,995.74,20.82,1.42,13.95,0
2911.95,1888.22,488.26,4.29,39.18,82.1,1022.38,54.24,1.63,84.91,0
3415.11,2577.52,640.34,1.07,29.57,86.08,1023.66,16.42,8.7,63.12,1
2576.64,1964.46,502.37,3.88,36.7,66.02,982.08,30.3,8.24,52.24,0
2494.88,1375.1,518.62,7.83,19.89,61.14,996.24,50.27,9.04,42.39,0
1573.93,851.29,178.87,6.34,35.25,56.68,1022.52,25.0,5.1,47.59,0
1097.93,756.61,161.04,3.95,25.37,54.06,992.48,60.16,1.23,80.91,0
3671.09,2167.29,762.96,2.32,19.44,94.72,1028.8,60.85,8.92,26.2,1
3681.34,1861.18,670.98,6.5,34.03,57.71,1004.47,15.77,2.7,16.43,0
2825.92,2166.33,793.56,8.93,34.05,78.88,1026.87,31.95,5.45,60.56,0
1884.9,1070.75,313.7,6.64,39.9,87.23,1001.44,31.38,8.95,87.3,0
1917.47,1493.3,599.54,8.22,34.52,41.32,996.19,29.88,3.52,60.6,0
3123.06,2233.71,744.73,5.45,18.63,42.03,998.12,36.13,8.37,81.65,0
3670.75,2675.23,605.58,7.32,23.06,59.99,1024.22,7.06,10.86,90.35,1
3638.68,2039.25,814.22,9.01,26.29,81.76,996.53,61.16,1.45,16.92,0
3295.6,1879.34,823.65,7.85,18.17,55.65,1013.47,21.71,9.48,63.03,0
2854.5,1873.64,402.85,9.14,34.7,40.09,1003.49,2.12,7.89,84.95,0
1069.25,589.83,175.67,4.6,28.17,57.29,1027.08,48.59,1.91,67.92,0
1317.21,779.3,250.84,9.09,38.61,45.41,987.97,46.23,10.74,63.24,0
3675.37,2192.14,518.7,6.4,29.73,53.16,1001.43,68.86,5.01,80.93,0
2740.57,1501.53,626.03,8.77,28.07,59.99,986.23,50.91,3.14,73.65,0
829.43,465.77,126.24,0.87,16.79,47.68,1008.91,24.62,4.6,55.15,0
1124.71,828.42,327.85,6.75,18.73,82.38,1000.14,66.78,8.42,13.96,0
2923.21,1608.23,591.42,8.56,36.24,55.36,983.05,26.84,8.91,65.2,0
816.2,415.07,145.07,2.15,39.77,79.67,1022.49,57.84,2.96,29.19,0
1314.59,905.5,224.6,6.79,25.38,75.94,998.78,24.83,14.08,32.87,0
2555.95,2026.34,517.07,8.34,35.25,93.88,1004.68,5.31,5.27,71.16,0
3014.06,1806.52,382.69,3.24,30.69,45.28,1000.38,51.9,4.39,50.78,0
2886.28,1545.88,402.2,4.35,38.98,52.88,1004.43,25.81,3.21,74.51,0
1517.66,1018.53,291.67,5.91,20.95,91.91,980.82,25.04,2.25,45.33,0
3078.97,2376.68,970.37,5.43,28.62,89.33,1020.77,50.68,14.74,88.3,1
1559.2,1146.35,334.27,0.87,25.22,51.53,996.62,23.9,10.28,48.44,0
1841.28,1264.51,491.46,1.44,28.54,46.46,1016.22,10.02,11.91,54.44,0
3188.77,1895.78,587.43,1.45,21.72,91.37,983.24,29.51,6.32,21.36,0
2878.83,1907.41,755.75,2.99,27.44,50.69,1006.19,58.02,6.51,55.32,0
3517.51,1855.04,823.77,2.84,30.62,92.27,1025.44,10.85,14.81,31.58,1
2904.36,2043.75,531.29,7.55,17.03,97.67,999.91,39.7,3.41,78.67,0
2618.59,1878.91,780.85,5.94,33.57,53.25,989.86,10.99,5.24,74.26,0
1099.76,868.27,308.63,7.76,32.66,90.42,984.95,5.34,3.33,11.43,0
1976.69,1142.76,462.05,1.16,37.01,65.43,1022.95,27.75,4.6,54.44,0
1648.65,833.45,302.46,5.11,25.65,87.33,991.94,46.74,10.12,14.09,0
1580.77,1049.13,321.02,3.58,16.54,64.44,1028.75,20.7,4.98,61.24,0
3913.63,2786.65,716.22,8.57,26.54,44.22,992.39,32.31,13.2,91.15,1
2057.91,1516.93,329.95,7.22,18.44,82.76,1004.05,35.41,1.21,88.05,0
3654.55,2039.68,681.01,8.76,31.19,49.04,1002.9,59.21,5.64,31.94,0
2819.64,1631.24,730.11,0.94,16.18,95.62,983.1,57.69,12.98,22.61,1
3343.4,2185.84,840.48,7.35,24.35,65.06,1006.59,2.16,9.51,81.2,1
2408.44,1443.09,406.71,5.63,17.07,44.92,1013.63,30.15,11.68,59.16,0
2646.09,2006.14,816.1,8.34,15.08,53.71,1017.11,46.61,5.19,48.14,0
2376.06,1525.73,598.46,5.32,39.01,91.75,1006.13,59.96,5.85,82.94,0
1424.78,1054.16,285.05,5.63,39.9,59.27,1020.63,5.33,13.38,32.73,0
3111.85,2097.96,427.1,0.99,28.89,91.38,1017.6,44.72,11.37,30.21,1
1698.47,1243.16,285.36,6.85,20.97,50.34,989.7,59.26,6.07,65.07,0
877.81,526.51,220.78,3.09,37.78,68.09,1000.08,19.35,3.62,34.53,0
2865.51,2147.49,878.62,0.69,38.08,92.7,987.13,15.96,2.04,48.41,0
1366.75,795.96,217.94,1.13,36.36,42.9,986.67,33.81,13.0,50.93,0
3809.47,2528.84,686.07,9.59,28.61,58.26,1015.61,67.46,10.62,28.45,1
3852.57,2173.63,865.57,3.79,16.87,94.59,1006.52,49.12,9.31,15.55,1
3727.57,2395.55,1040.71,8.75,17.21,75.79,1010.05,30.86,11.76,79.0,1
1984.51,1181.68,466.51,9.62,37.42,82.97,1016.61,3.42,13.77,80.52,0
849.46,492.7,173.13,9.46,36.9,90.53,993.86,39.86,11.54,63.85,0
3770.62,2979.15,776.57,8.88,25.86,71.42,1000.07,25.72,6.6,23.37,1
2170.19,1189.31,394.18,9.0,23.2,90.72,1010.34,14.63,3.06,52.86,0
3893.3,2866.24,740.57,3.25,31.1,78.33,984.83,36.01,10.85,26.01,1
3883.58,3088.42,1241.55,1.94,35.17,81.14,1021.65,25.21,4.08,89.31,1
3529.63,1785.89,529.95,6.57,33.29,49.17,997.17,4.63,11.85,72.76,1
1742.24,1236.48,505.01,5.14,30.39,96.34,1012.94,51.33,5.41,12.82,0
2032.31,1170.36,345.73,1.44,20.79,87.77,1029.78,51.82,2.77,10.15,0
3523.64,1804.62,732.74,6.94,21.56,55.25,1003.77,44.08,4.19,98.54,0
1814.15,1126.35,319.13,5.85,33.1,74.8,990.75,59.18,4.37,13.59,0
1342.38,1047.81,324.86,8.7,35.07,62.59,990.82,15.82,5.99,87.93,0
2581.76,1299.99,460.03,6.29,17.9,79.62,983.02,21.46,4.23,96.02,0
3795.7,2567.28,558.57,5.95,19.68,99.62,1018.35,33.19,3.77,37.73,0
3027.3,1969.01,860.56,4.69,32.01,42.74,994.67,6.09,6.18,58.61,0
2624.2,1999.68,686.69,4.9,24.72,97.15,988.64,62.08,13.09,68.27,1
1110.96,583.48,190.77,9.57,29.08,44.34,1015.68,35.36,1.52,56.84,0
2768.02,1949.96,799.19,1.82,30.37,67.65,995.46,24.08,4.8,29.22,0
3968.17,2793.72,1163.42,4.74,34.41,68.93,1010.02,34.5,8.65,62.31,1
1248.27,874.69,289.14,6.73,35.14,56.12,1000.89,24.11,13.18,33.28,0
2458.65,1924.39,830.98,4.61,22.0,74.0,996.71,21.47,4.62,24.85,0
3607.59,2694.61,582.53,3.19,28.53,90.04,1004.47,32.47,5.56,55.5,1
3170.46,1625.15,371.03,3.23,18.09,57.64,995.69,34.77,12.07,43.48,0
3030.45,1943.5,678.67,2.72,36.05,44.22,1023.53,31.47,5.9,12.47,0
3047.95,1887.86,544.68,3.77,36.14,77.94,983.65,39.26,12.85,95.47,1
1950.37,1156.66,365.57,8.78,22.49,85.1,981.51,55.27,7.1,13.56,0
1739.49,1105.28,311.71,5.3,19.02,97.27,1000.32,5.89,8.75,91.27,0
3389.96,2085.7,628.17,2.78,16.75,49.57,988.64,57.18,8.63,27.08,0
3392.36,2136.17,866.56,4.15,29.37,94.08,1017.19,17.54,2.23,22.77,0
3574.63,2837.47,988.49,1.51,17.29,68.93,997.67,19.14,5.65,16.22,1
3722.37,1960.16,880.77,9.09,32.01,54.15,993.07,42.76,4.0,48.31,0
2436.3,1892.2,750.67,4.38,31.95,97.76,997.97,68.35,10.4,62.82,1
2404.85,1548.9,415.75,9.81,30.35,54.31,990.97,3.18,14.04,91.34,0
3354.54,2304.98,613.32,3.8,36.91,84.01,994.98,47.77,3.58,80.54,0
2879.88,2157.19,612.59,8.45,24.46,87.09,1008.4,49.39,1.82,24.37,0
3046.29,1852.57,761.06,2.94,37.56,65.83,1023.2,41.01,7.85,25.1,0
3346.54,2105.4,435.44,1.22,15.92,81.4,998.54,2.66,6.17,10.73,0
3648.02,2272.19,585.19,0.8,17.82,74.35,996.03,43.23,1.02,71.9,0
1881.58,1152.32,491.15,6.26,25.31,51.52,1019.09,9.82,13.86,11.57,0
2001.87,1556.77,560.4,3.46,29.85,85.59,981.12,7.31,14.13,22.47,1
1100.74,824.1,211.56,4.71,15.81,95.68,995.1,49.33,12.83,67.11,0
2650.5,1411.92,359.74,8.28,29.19,69.32,1002.61,49.62,4.57,23.52,0
915.02,487.19,202.5,2.86,22.68,99.66,1010.03,62.51,2.28,23.79,0
2289.91,1438.89,609.28,3.43,37.18,65.68,987.8,2.23,9.09,31.06,0
2536.46,1343.3,354.68,8.53,28.33,68.78,1001.64,27.76,4.58,44.67,0
1716.93,1177.35,359.24,5.18,29.7,80.43,1008.32,2.83,3.42,10.71,0
2690.67,1461.32,597.17,8.36,38.64,51.15,1005.51,26.8,9.8,77.15,0
897.6,589.47,231.51,4.06,34.1,94.12,1008.73,35.43,11.38,79.64,0
919.51,461.75,186.31,4.28,25.96,88.08,1013.12,38.02,8.15,43.01,0
3432.32,2042.16,673.09,2.09,26.92,92.35,998.97,26.2,5.14,81.83,1
1952.61,1372.99,587.49,9.21,31.2,76.57,983.18,51.32,7.93,35.63,0
1206.59,778.51,219.14,9.02,20.0,93.02,982.78,30.26,9.2,98.71,0
2471.18,1960.83,468.97,9.85,17.22,80.8,1022.94,37.16,1.25,45.8,0
3263.98,2487.91,938.4,4.32,22.78,70.69,1013.87,56.41,6.94,70.19,1
1490.63,905.89,303.33,8.28,34.46,95.91,1018.21,13.85,9.18,39.02,0
2793.25,1434.74,593.48,4.44,21.43,66.38,1026.44,23.82,2.38,50.57,0
1073.11,808.79,178.17,4.82,18.27,70.03,1017.53,37.46,7.01,68.06,0
965.38,746.6,306.79,8.38,20.48,50.17,1014.62,54.2,5.53,41.28,0
2500.33,1865.72,509.95,2.18,31.97,96.86,1012.79,30.92,13.08,69.09,1
2530.03,1362.13,495.43,2.59,30.35,53.26,992.93,6.95,7.6,23.14,0
2839.78,2270.04,476.78,3.49,32.21,52.08,1027.86,69.24,6.68,53.54,0
3123.49,1804.05,635.74,7.99,23.05,46.07,1007.1,50.14,4.04,34.56,0
3922.73,2813.62,1067.26,4.04,37.52,67.2,991.1,51.15,14.38,92.8,1
2452.16,1894.07,553.43,3.9,26.29,56.42,990.49,33.63,14.44,84.22,1
1833.46,1046.37,265.62,9.99,27.84,84.45,1020.76,39.2,5.82,53.87,0
3344.6,2583.63,863.98,4.15,38.72,58.45,992.51,69.6,13.97,50.84,1
1666.66,988.07,403.43,2.85,39.48,83.25,982.07,42.47,9.47,85.06,0
2204.71,1748.17,491.04,6.42,31.54,51.76,1001.42,16.89,11.83,72.14,0
1051.06,614.22,161.61,8.12,38.62,53.8,1020.87,67.58,1.8,71.5,0
881.12,692.59,186.81,1.16,28.54,88.37,1000.72,38.57,0.81,59.34,0
